oid;tingid
0;4716
1;4717
2;4718
3;4719
4;0
5;1
6;2
7;3
8;4720
9;4721
10;4722
11;4723
12;4
13;4724
14;4725
15;5
16;4726
17;4727
18;4728
19;4729
20;6
21;7
22;8
23;9
24;4730
25;4731
26;4732
27;4733
28;10
29;4734
30;4735
31;4736
32;4737
33;4738
34;4739
35;4740
36;11
37;12
38;13
39;14
40;4741
41;4742
42;4743
43;4744
44;4745
45;4746
46;4747
47;4748
48;4749
49;4750
50;4751
51;4752
52;4753
53;4754
54;4755
55;4756
56;4757
57;4758
58;4759
59;4760
60;15
61;4761
62;4762
63;4763
64;4764
65;4765
66;4766
67;4767
68;16
69;17
70;4768
71;4769
72;4770
73;4771
74;4772
75;4773
76;4774
77;4775
78;4776
79;4777
80;4778
81;4779
82;4780
83;4781
84;18
85;19
86;4782
87;4783
88;4784
89;4785
90;4786
91;4787
92;4788
93;4789
94;4790
95;4791
96;4792
97;4793
98;4794
99;4795
100;20
101;21
102;4796
103;4797
104;4798
105;4799
106;4800
107;4801
108;4802
109;4803
110;4804
111;4805
112;4806
113;4807
114;4808
115;4809
116;4810
117;4811
118;4812
119;4813
120;4814
121;4815
122;4816
123;4817
124;4818
125;4819
126;4820
127;4821
128;4822
129;4823
130;4824
131;4825
132;4826
133;4827
134;4828
135;4829
136;4830
137;4831
138;4832
139;4833
140;4834
141;4835
142;4836
143;4837
144;4838
145;4839
146;4840
147;4841
148;4842
149;4843
150;4844
151;4845
152;4846
153;4847
154;4848
155;4849
156;4850
157;4851
158;4852
159;4853
160;4854
161;4855
162;4856
163;4857
164;4858
165;4859
166;4860
167;4861
168;4862
169;4863
170;4864
171;4865
172;4866
173;4867
174;4868
175;4869
176;4870
177;4871
178;4872
179;4873
180;4874
181;4875
182;4876
183;4877
184;4878
185;4879
186;4880
187;4881
188;4882
189;4883
190;4884
191;4885
192;4886
193;4887
194;4888
195;4889
196;22
197;23
198;24
199;25
200;4890
201;4891
202;4892
203;4893
204;26
205;4894
206;4895
207;27
208;4896
209;4897
210;4898
211;4899
212;28
213;29
214;30
215;31
216;4900
217;4901
218;4902
219;4903
220;4904
221;4905
222;4906
223;32
224;4907
225;4908
226;4909
227;4910
228;33
229;34
230;35
231;36
232;4911
233;4912
234;4913
235;4914
236;37
237;4915
238;4916
239;4917
240;4918
241;4919
242;4920
243;4921
244;4922
245;4923
246;4924
247;4925
248;4926
249;4927
250;4928
251;4929
252;38
253;4930
254;4931
255;4932
256;39
257;40
258;4933
259;41
260;4934
261;4935
262;4936
263;4937
264;4938
265;4939
266;4940
267;4941
268;4942
269;4943
270;4944
271;4945
272;42
273;43
274;4946
275;44
276;4947
277;4948
278;4949
279;4950
280;4951
281;4952
282;4953
283;4954
284;4955
285;4956
286;4957
287;4958
288;4959
289;4960
290;4961
291;4962
292;4963
293;4964
294;4965
295;4966
296;4967
297;4968
298;4969
299;4970
300;4971
301;4972
302;4973
303;4974
304;4975
305;4976
306;4977
307;4978
308;4979
309;4980
310;4981
311;4982
312;4983
313;4984
314;4985
315;4986
316;4987
317;4988
318;4989
319;4990
320;45
321;46
322;4991
323;47
324;4992
325;4993
326;4994
327;4995
328;4996
329;4997
330;4998
331;4999
332;5000
333;5001
334;5002
335;5003
336;48
337;49
338;5004
339;50
340;5005
341;5006
342;5007
343;5008
344;5009
345;5010
346;5011
347;5012
348;5013
349;5014
350;5015
351;5016
352;5017
353;5018
354;5019
355;5020
356;5021
357;5022
358;5023
359;5024
360;5025
361;5026
362;5027
363;5028
364;5029
365;5030
366;5031
367;5032
368;5033
369;5034
370;5035
371;5036
372;5037
373;5038
374;5039
375;5040
376;5041
377;5042
378;5043
379;5044
380;5045
381;5046
382;5047
383;5048
384;51
385;52
386;53
387;54
388;5049
389;5050
390;5051
391;5052
392;5053
393;5054
394;5055
395;5056
396;5057
397;5058
398;5059
399;5060
400;55
401;56
402;57
403;58
404;5061
405;5062
406;5063
407;5064
408;5065
409;5066
410;5067
411;5068
412;5069
413;5070
414;5071
415;5072
416;5073
417;5074
418;5075
419;5076
420;5077
421;5078
422;5079
423;5080
424;5081
425;5082
426;5083
427;5084
428;5085
429;5086
430;5087
431;5088
432;5089
433;5090
434;5091
435;5092
436;5093
437;5094
438;5095
439;5096
440;5097
441;5098
442;5099
443;5100
444;5101
445;5102
446;5103
447;5104
448;5105
449;59
450;60
451;61
452;5106
453;5107
454;5108
455;5109
456;5110
457;5111
458;5112
459;5113
460;5114
461;5115
462;5116
463;5117
464;5118
465;62
466;63
467;64
468;5119
469;5120
470;5121
471;5122
472;5123
473;5124
474;5125
475;5126
476;5127
477;5128
478;5129
479;5130
480;5131
481;5132
482;5133
483;5134
484;5135
485;5136
486;5137
487;5138
488;5139
489;5140
490;5141
491;5142
492;5143
493;5144
494;5145
495;5146
496;5147
497;5148
498;5149
499;5150
500;5151
501;5152
502;5153
503;5154
504;5155
505;5156
506;5157
507;5158
508;5159
509;5160
510;5161
511;5162
512;5163
513;5164
514;5165
515;5166
516;5167
517;5168
518;5169
519;5170
520;5171
521;5172
522;5173
523;5174
524;5175
525;5176
526;5177
527;5178
528;5179
529;5180
530;5181
531;5182
532;5183
533;5184
534;5185
535;5186
536;5187
537;5188
538;5189
539;5190
540;5191
541;5192
542;5193
543;5194
544;5195
545;5196
546;5197
547;5198
548;5199
549;5200
550;5201
551;5202
552;5203
553;5204
554;5205
555;5206
556;5207
557;5208
558;5209
559;5210
560;5211
561;5212
562;5213
563;5214
564;5215
565;5216
566;5217
567;5218
568;5219
569;5220
570;5221
571;5222
572;5223
573;5224
574;5225
575;5226
576;5227
577;5228
578;5229
579;5230
580;5231
581;5232
582;5233
583;5234
584;5235
585;5236
586;5237
587;5238
588;5239
589;5240
590;5241
591;5242
592;5243
593;5244
594;5245
595;5246
596;5247
597;5248
598;5249
599;5250
600;5251
601;5252
602;5253
603;5254
604;5255
605;5256
606;5257
