tingid;oid
0;4
1;5
2;6
3;7
4;12
5;15
6;20
7;21
8;22
9;23
10;28
11;36
12;37
13;38
14;39
15;60
16;68
17;69
18;84
19;85
20;100
21;101
22;196
23;197
24;198
25;199
26;204
27;207
28;212
29;213
30;214
31;215
32;223
33;228
34;229
35;230
36;231
37;236
38;252
39;256
40;257
41;259
42;272
43;273
44;275
45;320
46;321
47;323
48;336
49;337
50;339
51;384
52;385
53;386
54;387
55;400
56;401
57;402
58;403
59;449
60;450
61;451
62;465
63;466
64;467
65;768
66;769
67;771
68;776
69;777
70;778
71;779
72;784
73;792
74;793
75;794
76;795
77;801
78;808
79;809
80;816
81;817
82;962
83;963
84;969
85;970
86;971
87;979
88;985
89;986
90;987
91;994
92;1001
93;1010
94;1011
95;1280
96;1297
97;1299
98;1305
99;1329
100;1331
101;1345
102;1347
103;1360
104;1368
105;1370
106;1392
107;1408
108;1410
109;1425
110;1427
111;1433
112;1435
113;1457
114;1459
115;1473
116;1475
117;1490
118;1498
119;1522
120;1542
121;1548
122;1549
123;1551
124;1565
125;1567
126;1596
127;1597
128;1604
129;1605
130;1606
131;1607
132;1612
133;1613
134;1615
135;1620
136;1622
137;1628
138;1660
139;1661
140;1670
141;1676
142;1677
143;1678
144;1679
145;1693
146;1695
147;1724
148;1725
149;1734
150;1740
151;1741
152;1742
153;1743
154;1750
155;1756
156;1758
157;1788
158;1789
159;1800
160;1802
161;1817
162;1819
163;1841
164;1993
165;1995
166;2010
167;2034
168;2100
169;2102
170;2108
171;2165
172;2293
173;2295
174;2304
175;2305
176;2307
177;2320
178;2330
179;2337
180;2339
181;2345
182;2352
183;2353
184;2355
185;2368
186;2369
187;2371
188;2385
189;2387
190;2393
191;2395
192;2400
193;2408
194;2416
195;2417
196;2419
197;2434
198;2435
199;2450
200;2456
201;2458
202;2465
203;2467
204;2473
205;2480
206;2481
207;2482
208;2483
209;2498
210;2499
211;2515
212;2521
213;2530
214;2545
215;2546
216;2547
217;2572
218;2573
219;2575
220;2605
221;2614
222;2620
223;2621
224;2636
225;2637
226;2639
227;2660
228;2662
229;2668
230;2676
231;2677
232;2678
233;2679
234;2684
235;2685
236;2702
237;2703
238;2733
239;2742
240;2748
241;2749
242;2766
243;2767
244;2790
245;2796
246;2806
247;2812
248;2813
249;2825
250;2827
251;2840
252;2842
253;2857
254;2864
255;2872
256;3018
257;3035
258;3059
259;3065
260;3076
261;3077
262;3078
263;3079
264;3084
265;3087
266;3092
267;3093
268;3094
269;3095
270;3103
271;3108
272;3109
273;3110
274;3111
275;3116
276;3124
277;3125
278;3126
279;3127
280;3132
281;3140
282;3141
283;3156
284;3157
285;3172
286;3173
287;3188
288;3189
289;3270
290;3271
291;3276
292;3279
293;3286
294;3287
295;3292
296;3300
297;3301
298;3302
299;3303
300;3316
301;3317
302;3318
303;3319
304;3324
305;3328
306;3329
307;3331
308;3344
309;3345
310;3347
311;3360
312;3361
313;3363
314;3376
315;3377
316;3379
317;3392
318;3393
319;3395
320;3408
321;3409
322;3411
323;3424
324;3425
325;3427
326;3440
327;3441
328;3443
329;3458
330;3459
331;3474
332;3475
333;3488
334;3489
335;3490
336;3491
337;3504
338;3505
339;3506
340;3507
341;3522
342;3523
343;3538
344;3539
345;3553
346;3554
347;3555
348;3569
349;3570
350;3571
351;3848
352;3849
353;3850
354;3851
355;3864
356;3865
357;3866
358;3867
359;3880
360;3881
361;3888
362;3889
363;3891
364;3896
365;3897
366;4042
367;4043
368;4058
369;4059
370;4073
371;4082
372;4083
373;4089
374;4096
375;4097
376;4099
377;4112
378;4120
379;4121
380;4122
381;4123
382;4129
383;4131
384;4136
385;4137
386;4144
387;4145
388;4147
389;4357
390;4358
391;4373
392;4374
393;4423
394;4439
395;5382
396;5388
397;5397
398;5407
399;5447
400;5455
401;6168
402;6170
403;6185
404;6192
405;6405
406;6406
407;6412
408;6415
409;6422
410;6428
411;6437
412;6453
413;6454
414;6460
415;6471
416;6479
417;6487
418;6495
419;6519
420;7168
421;7169
422;7171
423;7192
424;7193
425;7194
426;7195
427;7200
428;7208
429;7209
430;7216
431;7217
432;7219
433;7429
434;7430
435;7445
436;7446
437;7461
438;7462
439;7477
440;7478
441;7495
442;7511
443;7527
444;7543
445;8192
446;8193
447;8195
448;8209
449;8211
450;8216
451;8217
452;8218
453;8219
454;8224
455;8232
456;8233
457;8240
458;8241
459;8243
460;8323
461;8327
462;8339
463;8343
464;8359
465;8371
466;8384
467;8385
468;8386
469;8387
470;8388
471;8389
472;8390
473;8391
474;8396
475;8399
476;8400
477;8402
478;8404
479;8405
480;8406
481;8407
482;8408
483;8409
484;8410
485;8411
486;8415
487;8417
488;8419
489;8420
490;8421
491;8422
492;8423
493;8424
494;8425
495;8428
496;8432
497;8433
498;8434
499;8435
500;8444
501;8453
502;8454
503;8469
504;8470
505;8519
506;8535
507;8579
508;8583
509;8595
510;8599
511;8643
512;8645
513;8646
514;8659
515;8661
516;8662
517;9217
518;9219
519;9240
520;9242
521;9264
522;9347
523;9408
524;9410
525;9433
526;9435
527;9457
528;9459
529;9477
530;9478
531;9484
532;9487
533;9494
534;9500
535;9532
536;9543
537;9551
538;9559
539;9567
540;9607
541;9615
542;9619
543;9627
544;9651
545;9667
546;9669
547;9670
548;9676
549;9679
550;9685
551;9690
552;9695
553;9724
554;10240
555;10265
556;10267
557;10280
558;10289
559;10291
560;10292
561;10294
562;10300
563;10419
564;10435
565;10456
566;10458
567;10473
568;10480
569;10482
570;10485
571;10487
572;10496
573;10499
574;10502
575;10508
576;10512
577;10517
578;10522
579;10527
580;10531
581;10534
582;10537
583;10540
584;10544
585;10547
586;10549
587;10563
588;10567
589;10575
590;10579
591;10587
592;10599
593;10611
594;10627
595;10647
596;10655
597;10659
598;10675
599;10679
600;10691
601;10703
602;10707
603;10710
604;10713
605;10716
606;10725
607;10739
608;10742
609;10748
610;11264
611;11265
612;11267
613;11268
614;11269
615;11270
616;11271
617;11276
618;11279
619;11284
620;11285
621;11286
622;11287
623;11288
624;11289
625;11290
626;11291
627;11295
628;11297
629;11299
630;11300
631;11301
632;11302
633;11303
634;11304
635;11305
636;11308
637;11312
638;11313
639;11315
640;11316
641;11317
642;11318
643;11319
644;11324
645;11395
646;11399
647;11415
648;11427
649;11431
650;11443
651;11447
652;11458
653;11459
654;11462
655;11463
656;11468
657;11471
658;11478
659;11479
660;11480
661;11481
662;11482
663;11483
664;11484
665;11488
666;11490
667;11492
668;11493
669;11494
670;11495
671;11496
672;11497
673;11504
674;11505
675;11506
676;11507
677;11508
678;11509
679;11510
680;11511
681;11516
682;11520
683;11523
684;11536
685;11539
686;11552
687;11555
688;11568
689;11571
690;11587
691;11603
692;11619
693;11635
694;11651
695;11667
696;11683
697;11699
698;11715
699;11731
700;11747
701;11763
702;12292
703;12293
704;12294
705;12295
706;12300
707;12303
708;12308
709;12309
710;12310
711;12311
712;12319
713;12324
714;12325
715;12326
716;12327
717;12332
718;12348
719;12419
720;12423
721;12439
722;12451
723;12455
724;12467
725;12480
726;12481
727;12482
728;12483
729;12484
730;12485
731;12486
732;12487
733;12492
734;12495
735;12497
736;12499
737;12500
738;12501
739;12502
740;12503
741;12504
742;12505
743;12506
744;12507
745;12508
746;12512
747;12514
748;12516
749;12517
750;12518
751;12519
752;12520
753;12521
754;12528
755;12529
756;12530
757;12531
758;12540
759;12544
760;12545
761;12547
762;12560
763;12561
764;12563
765;12611
766;12627
767;12675
768;12679
769;12691
770;12695
771;12737
772;12738
773;12739
774;12741
775;12742
776;12753
777;12754
778;12755
779;12757
780;12758
781;13056
782;13057
783;13059
784;13061
785;13062
786;13063
787;13064
788;13065
789;13066
790;13067
791;13068
792;13069
793;13071
794;13073
795;13075
796;13077
797;13078
798;13079
799;13080
800;13081
801;13082
802;13083
803;13084
804;13088
805;13093
806;13096
807;13097
808;13101
809;13104
810;13105
811;13116
812;13117
813;13250
814;13251
815;13254
816;13255
817;13257
818;13258
819;13259
820;13260
821;13261
822;13262
823;13263
824;13266
825;13270
826;13271
827;13273
828;13274
829;13275
830;13277
831;13279
832;13283
833;13286
834;13287
835;13289
836;13292
837;13298
838;13299
839;13308
840;13309
841;13317
842;13319
843;13327
844;13332
845;13334
846;13372
847;13447
848;13508
849;13510
850;13516
851;13525
852;13527
853;13568
854;13569
855;13571
856;13584
857;13594
858;13616
859;13617
860;13619
861;13635
